Position,Track,Artists
1,Te Felicito,"Shakira, Rauw Alejandro"
2,Una Noche Sin Pensar,Sebastian Yatra
3,Tacones Rojos,Sebastian Yatra
4,Segundos Platos,Morat
5,23,Morat
6,KESI - Remix,"Camilo, Shawn Mendes"
7,506,"Morat, Juanes"
8,París,"Morat, Duki"
9,Salir Con Vida,"Morat, Feid"
10,Simplemente Pasan,"Morat, Cami"
11,Mi Pecadito,"Mike Bahía, Greeicy"
12,TV,Sebastian Yatra
13,Conquistar El Planeta,"TIMØ, Andrés Cepeda"
14,Llamada Perdida,Morat
15,La Vida,Mike Bahía
16,Idiota,"Morat, Danna Paola"
17,Pasa,"Fonseca, Matisse"
18,A Veces,TIMØ
19,Tu Despertador,"Andrés Cepeda, Reik"
20,El Parrandero (Masters en Parranda),"Carlos Vives, Sin Animo De Lucro, JBot & Tuti"
21,Amor,Cali Y El Dandee
22,Tabaco y Chanel - Re-Recorded,"Bacilos, Morat"
23,Te Creí,"Greeicy, Cultura Profética"
24,Lo Que Había Olvidado,Andrés Cepeda
25,No Sé Querer,Andrés Cepeda
26,Duele,"Andrés Cepeda, Gusi"
27,Fórmula 1,Susana Cala
28,Att: Amor,"Greeicy, Mike Bahía"
29,Si Todo Se Acaba,"Andrés Cepeda, Joss Favela"
30,Si Te Vas,"Alejandro Santamaria, Andrés Cepeda"
31,El Amor Es Perfecto,Cabas
32,Planetas,Alejandro Santamaria
33,A Primera Vista,Ines Gaviria
34,Mundos Aparte,Wamba
35,Vida,Nina Rodriguez
